Background	Year	Meanfit	Stdfit
Bei89	2017	0.4786556376488645	0.0009233327127417923
Bei89	2018	0.5370021868999658	0.0008784217109157662
Bei89	2019	0.4716972844686166	0.0007715042836399215
Bei89	2020	0.4436106721141163	0.0007301888919726379
Mos99	1968	0.13450580585375438	0.003602741015481129
Mos99	1969	0.09193599409963987	0.03215330119653056
Mos99	1970	-0.2142147623343909	0.03702149740956708
Mos99	1971	-0.35552038758951054	0.023091299720167147
Mos99	1972	-0.07333193306430927	0.04110756769367703
Mos99	1973	0.023096072210872086	0.015218939340480298
Mos99	1974	-0.012414786250248618	0.021631258463753213
Mos99	1975	-0.0073418064700885135	0.023247313841564095
Mos99	1976	0.016450922713293906	0.015244967863880375
Mos99	1977	0.0074071809229698405	0.002377525432952504
Mos99	1978	0.005029655490017335	0.0
Mos99	1979	0.005029655490017335	0.0
Mos99	1980	0.005029655490017335	0.0
Mos99	1981	0.005029655490017335	0.0
Mos99	1982	-0.037999592758518115	0.0290103132510593
Mos99	1983	-0.16708733750412444	0.05442817218807321
Mos99	1984	-0.25314583400119534	0.0
Mos99	1985	-0.2531458340011953	1.6737241846796126e-17
Mos99	1986	-0.2531458340011953	1.850371707708594e-17
Mos99	1987	-0.25314583400119534	0.0
Mos99	1988	-0.2310628481884658	0.02208298581272946
Mos99	1989	-0.23842384345937567	0.014721990541819642
Mos99	1990	-0.19693459738697489	0.03770764385061661
Mos99	1991	-0.20765926839683585	0.01775881582639466
Mos99	1992	-0.06423273224969625	0.0269675019576151
Mos99	1993	0.05601596737701709	6.837095321595524e-19
Mos99	1994	0.050857388383875254	0.001842093552217649
Mos99	1995	-0.0026393831586176654	0.004434726990422727
Mos99	1996	0.003993696972807437	0.0023888954874614877
Mos99	1997	0.0036826391920759694	0.003314313884234188
Mos99	1998	0.03698028152837659	0.008424339063546914
Mos99	1999	0.02822135772405166	0.006264957857726747
Mos99	2000	0.0011780928215384097	0.0008310421208950796
Mos99	2001	0.0014383691425759655	0.0014383691425759657
Mos99	2002	0.0003179718956352272	0.00024292319911705328
Mos99	2003	-0.0017729765769026486	0.0009234997997813463
Mos99	2004	0.001149664644948063	0.0013483269348883082
Mos99	2005	0.001007843519465693	0.0006140518254010808
Mos99	2006	0.03829408819278453	0.0033406134595625257
Mos99	2007	0.11289259485114696	0.0017497523814578658
Mos99	2008	0.1211691533163426	0.0013670455099512246
Mos99	2009	0.11597607303780368	0.001109528832900519
Mos99	2010	-0.0067605132669148835	0.001421298260221857
Mos99	2011	-0.013742788637944401	0.0009074684763758361
Mos99	2012	-0.015611577034404491	0.0006598898316824161
Mos99	2013	-0.022958636012524593	0.0005005182276421487
Mos99	2014	-0.024760377912155088	0.0002981027141623616
Mos99	2015	-0.025175560643469413	0.00033760326661275657
Mos99	2016	-0.019052014609172857	0.0006033421164398628
Mos99	2017	0.008550263452779134	0.0007340437992340651
Mos99	2018	0.06233716518943684	0.0007853548683740598
Mos99	2019	0.12490242001956392	0.0008885475506256051
Mos99	2020	0.16058222736439426	0.0008551145917755933
Vic11	1968	-0.2264535198082984	0.0019926067878963992
Vic11	1969	-0.2606366488537153	0.021136616809119883
Vic11	1970	-0.3462635608396142	0.04419374337938451
Vic11	1971	-0.18148961010540737	0.04242755181346374
Vic11	1972	-0.24563611501988064	0.01453964181442428
Vic11	1973	-0.21094699096675523	0.013540864168961574
Vic11	1974	-0.17935164123917824	0.01924614627264417
Vic11	1975	-0.1838652626288321	0.02068401167646057
Vic11	1976	-0.2114247939607816	0.00918460672790455
Vic11	1977	-0.26335962431933374	0.002990136091047449
Vic11	1978	-0.2663497604103811	0.0
Vic11	1979	-0.2663497604103811	0.0
Vic11	1980	-0.2663497604103811	0.0
Vic11	1981	-0.2663497604103811	0.0
Vic11	1982	-0.2572689720262205	0.006122266279658939
Vic11	1983	-0.23002660687373835	0.011486389697579136
Vic11	1984	-0.21186503010541702	0.0
Vic11	1985	-0.21186503010541702	0.0
Vic11	1986	-0.21186503010541702	0.0
Vic11	1987	-0.21186503010541702	0.0
Vic11	1988	-0.22283806083262458	0.010973030727207502
Vic11	1989	-0.21918038392355538	0.007315353818138333
Vic11	1990	-0.23979638104739973	0.018736919822902848
Vic11	1991	-0.24026882305001918	0.009977628716430336
Vic11	1992	-0.30687139053497914	0.013670715058110652
Vic11	1993	-0.3654874602863219	1.0939352514552838e-17
Vic11	1994	-0.35483045172374916	0.006221799744290139
Vic11	1995	-0.1157171365615621	0.012861783609911812
Vic11	1996	-0.04039401138461635	0.005260953574882729
Vic11	1997	-0.034843505107220014	0.0019981024291200844
Vic11	1998	-0.06296311748104823	0.008948729234548668
Vic11	1999	-0.059934827822765935	0.005620327274926622
Vic11	2000	-0.03200807054337326	0.0005657710698256781
Vic11	2001	-0.03218526590916904	0.0009792375478188179
Vic11	2002	-0.035298399213382126	0.00249719515044244
Vic11	2003	-0.03182731841426089	0.00037617197946014826
Vic11	2004	-0.033584289175456916	0.0007437084167913583
Vic11	2005	-0.03187452749579245	0.0004234341378347235
Vic11	2006	-0.05611609562544823	0.002591494558858371
Vic11	2007	-0.10828424145453286	0.0013106952512233947
Vic11	2008	-0.11574563856851112	0.0007087889618350665
Vic11	2009	-0.11217526489907059	0.0007586241193655885
Vic11	2010	-0.06543804155517044	0.0006688641538439676
Vic11	2011	-0.06116282832427019	0.0005756856368689288
Vic11	2012	-0.061833612803015144	0.00038694597585993054
Vic11	2013	-0.060728078275545806	0.00035312492584335106
Vic11	2014	-0.05938356118768678	0.00019262595404857618
Vic11	2015	-0.059462697088144355	0.0001875386354224193
Vic11	2016	-0.05493790333070328	0.0003575704835653509
Vic11	2017	-0.03523829144978016	0.00039724655888338605
Vic11	2018	-0.003566850688514052	0.00033105642310494294
Vic11	2019	0.007416996541772831	0.0003282939941289658
Vic11	2020	0.015177709943329405	0.0003528864952615416
HK19	1968	0.1539971633330439	0.0020582565422155794
HK19	1969	0.06734546041038006	0.06039312669444472
HK19	1970	-0.31570484842914237	0.03415090960108223
HK19	1971	-0.18072839906674007	0.01444742080256195
HK19	1972	-0.2573066545666752	0.014527031382739825
HK19	1973	-0.2648199673930377	0.030768533188755248
HK19	1974	-0.1930267232859422	0.04373248878035996
HK19	1975	-0.20328290101552726	0.04699971078674397
HK19	1976	-0.26617837389502785	0.02073468968409523
HK19	1977	-0.49538162276276765	0.015368701706228819
HK19	1978	-0.5107503244689965	0.0
HK19	1979	-0.5107503244689965	0.0
HK19	1980	-0.5107503244689965	0.0
HK19	1981	-0.5107503244689965	0.0
HK19	1982	-0.5290382345785288	0.012329706480586893
HK19	1983	-0.5839019649071261	0.023132579836216735
HK19	1984	-0.620477785126191	0.0
HK19	1985	-0.620477785126191	0.0
HK19	1986	-0.620477785126191	0.0
HK19	1987	-0.620477785126191	0.0
HK19	1988	-0.5835958788170047	0.036881906309186294
HK19	1989	-0.5958898475867335	0.024587937539457535
HK19	1990	-0.5265965690664441	0.06297743427598174
HK19	1991	-0.5436094250008331	0.029568246206617566
HK19	1992	-0.3143373139659746	0.0441473390803103
HK19	1993	-0.10413109679758283	1.3674190643191048e-18
HK19	1994	-0.1442422345741511	0.013958050244596397
HK19	1995	-0.34171574569094876	0.01431633734135846
